dia	mes	ano	chuva
31	1	2023	0.0
30	1	2023	0.0
29	1	2023	0.0
28	1	2023	0.0
27	1	2023	0.0
26	1	2023	3.8
25	1	2023	0.0
24	1	2023	0.0
23	1	2023	4.8
22	1	2023	0.0
21	1	2023	0.0
20	1	2023	33.2
19	1	2023	0.0
18	1	2023	0.0
17	1	2023	18.0
16	1	2023	0.0
15	1	2023	0.0
14	1	2023	0.0
13	1	2023	1.5
12	1	2023	0.0
11	1	2023	0.0
10	1	2023	51.1
9	1	2023	4.7
8	1	2023	0.0
7	1	2023	0.0
6	1	2023	15.2
5	1	2023	0.0
4	1	2023	30.0
3	1	2023	0.0
2	1	2023	30.0
1	1	2023	0.0
31	12	2022	0.0
30	12	2022	0.0
29	12	2022	0.0
28	12	2022	0.0
27	12	2022	0.0
26	12	2022	7.2
25	12	2022	11.0
24	12	2022	28.8
23	12	2022	55.2
22	12	2022	17.4
21	12	2022	0.0
20	12	2022	0.0
19	12	2022	2.2
18	12	2022	24.8
17	12	2022	11.2
16	12	2022	4.2
15	12	2022	31.8
14	12	2022	10.0
13	12	2022	8.2
12	12	2022	2.4
11	12	2022	0.0
10	12	2022	22.4
9	12	2022	1.4
8	12	2022	0.0
7	12	2022	0.0
6	12	2022	0.0
5	12	2022	1.8
4	12	2022	22.8
3	12	2022	28.0
2	12	2022	0.0
1	12	2022	0.6
30	11	2022	55.2
29	11	2022	0.0
28	11	2022	42.4
27	11	2022	60.8
26	11	2022	24.6
25	11	2022	12.2
24	11	2022	2.2
23	11	2022	3.4
22	11	2022	42.4
21	11	2022	166.6
20	11	2022	0.0
19	11	2022	0.0
18	11	2022	0.0
17	11	2022	8.2
16	11	2022	0.0
15	11	2022	0.0
14	11	2022	0.0
13	11	2022	0.0
12	11	2022	0.0
11	11	2022	0.0
10	11	2022	0.0
9	11	2022	0.0
8	11	2022	0.0
7	11	2022	0.0
6	11	2022	17.4
5	11	2022	0.0
4	11	2022	0.0
3	11	2022	0.0
2	11	2022	0.0
1	11	2022	0.0
31	10	2022	0.0
30	10	2022	0.0
29	10	2022	0.0
28	10	2022	0.0
27	10	2022	0.0
26	10	2022	0.0
25	10	2022	16.0
24	10	2022	6.7
23	10	2022	0.0
22	10	2022	0.0
21	10	2022	0.0
20	10	2022	0.0
19	10	2022	17.8
18	10	2022	0.0
17	10	2022	0.0
16	10	2022	0.0
15	10	2022	0.0
14	10	2022	0.0
13	10	2022	0.6
12	10	2022	0.0
11	10	2022	0.0
10	10	2022	0.0
9	10	2022	0.0
8	10	2022	0.0
7	10	2022	0.0
6	10	2022	0.0
5	10	2022	0.0
4	10	2022	0.0
3	10	2022	0.0
2	10	2022	0.0
1	10	2022	1.6
30	9	2022	0.6
29	9	2022	0.0
28	9	2022	0.0
27	9	2022	1.0
26	9	2022	1.4
25	9	2022	0.0
24	9	2022	2.8
23	9	2022	0.0
22	9	2022	0.0
21	9	2022	0.0
20	9	2022	0.0
19	9	2022	0.0
18	9	2022	0.0
17	9	2022	0.0
16	9	2022	0.0
15	9	2022	0.0
14	9	2022	0.0
13	9	2022	0.0
12	9	2022	0.0
11	9	2022	0.0
10	9	2022	0.0
9	9	2022	0.0
8	9	2022	0.0
7	9	2022	0.2
6	9	2022	3.4
5	9	2022	0.0
4	9	2022	0.0
3	9	2022	0.0
2	9	2022	0.0
1	9	2022	0.0
31	8	2022	0.0
30	8	2022	0.0
29	8	2022	0.0
28	8	2022	0.0
27	8	2022	3.6
26	8	2022	1.2
25	8	2022	1.0
24	8	2022	0.2
23	8	2022	0.0
22	8	2022	1.0
21	8	2022	0.8
20	8	2022	0.4
19	8	2022	0.0
18	8	2022	0.4
17	8	2022	0.0
16	8	2022	0.0
15	8	2022	0.0
14	8	2022	0.0
13	8	2022	0.0
12	8	2022	0.0
11	8	2022	0.0
10	8	2022	0.0
9	8	2022	0.0
8	8	2022	0.0
7	8	2022	0.0
6	8	2022	0.0
5	8	2022	0.0
4	8	2022	0.0
3	8	2022	0.0
2	8	2022	0.0
1	8	2022	0.0
31	7	2022	0.0
30	7	2022	0.0
29	7	2022	0.0
28	7	2022	0.0
27	7	2022	0.0
26	7	2022	0.0
25	7	2022	1.4
24	7	2022	0.0
23	7	2022	0.0
22	7	2022	0.0
21	7	2022	0.0
20	7	2022	0.0
19	7	2022	0.0
18	7	2022	9.0
17	7	2022	0.0
16	7	2022	0.0
15	7	2022	0.0
14	7	2022	0.0
13	7	2022	0.0
12	7	2022	0.0
11	7	2022	0.0
10	7	2022	0.0
9	7	2022	0.0
8	7	2022	0.0
7	7	2022	0.0
6	7	2022	0.0
5	7	2022	0.0
4	7	2022	0.0
3	7	2022	0.0
2	7	2022	0.0
1	7	2022	0.0
30	6	2022	0.0
29	6	2022	0.0
28	6	2022	0.0
27	6	2022	3.0
26	6	2022	0.0
25	6	2022	0.0
24	6	2022	0.0
23	6	2022	0.0
22	6	2022	0.0
21	6	2022	0.0
20	6	2022	0.0
19	6	2022	0.0
18	6	2022	0.0
17	6	2022	0.0
16	6	2022	0.0
15	6	2022	0.0
14	6	2022	0.0
13	6	2022	0.0
12	6	2022	0.0
11	6	2022	0.0
10	6	2022	0.0
9	6	2022	0.0
8	6	2022	0.0
7	6	2022	0.0
6	6	2022	0.6
5	6	2022	0.0
4	6	2022	0.0
3	6	2022	0.0
2	6	2022	0.0
1	6	2022	0.0
31	5	2022	0.0
30	5	2022	6.4
29	5	2022	0.0
28	5	2022	0.0
27	5	2022	2.6
26	5	2022	8.0
25	5	2022	0.0
24	5	2022	0.0
23	5	2022	0.8
22	5	2022	0.0
21	5	2022	0.0
20	5	2022	0.0
19	5	2022	2.8
18	5	2022	3.7
17	5	2022	0.0
16	5	2022	0.0
15	5	2022	0.0
14	5	2022	0.0
13	5	2022	0.0
12	5	2022	0.0
11	5	2022	0.0
10	5	2022	0.0
9	5	2022	1.6
8	5	2022	10.6
7	5	2022	0.0
6	5	2022	0.0
5	5	2022	0.0
4	5	2022	0.0
3	5	2022	0.0
2	5	2022	0.0
1	5	2022	0.0
30	4	2022	0.0
29	4	2022	2.4
28	4	2022	0.0
27	4	2022	11.2
26	4	2022	0.0
25	4	2022	0.0
24	4	2022	0.8
23	4	2022	0.0
22	4	2022	0.0
21	4	2022	0.0
20	4	2022	0.0
19	4	2022	0.0
18	4	2022	0.0
17	4	2022	0.8
16	4	2022	0.0
15	4	2022	15.0
14	4	2022	0.0
13	4	2022	0.0
12	4	2022	0.0
11	4	2022	16.0
10	4	2022	0.4
9	4	2022	0.0
8	4	2022	0.0
7	4	2022	0.0
6	4	2022	0.0
5	4	2022	0.0
4	4	2022	0.0
