data	vazao
2022-01-31	6061.172
2022-01-30	6247.807
2022-01-29	6478.525
2022-01-28	6883.705
2022-01-27	7231.36
2022-01-26	7741.252
2022-01-25	7955.296
2022-01-24	8080.125
2022-01-23	8114.284
2022-01-22	8148.492
2022-01-21	8034.656
2022-01-20	7853.659
2022-01-19	7651.726
2022-01-18	7451.595
2022-01-17	7286.207
2022-01-16	7122.091
2022-01-15	6840.661
2022-01-14	6489.08
2022-01-13	6133.523
2022-01-12	5825.521
2022-01-11	5593.08
2022-01-10	5344.114
2022-01-09	4992.464
2022-01-08	4775.667
2022-01-07	4581.973
2022-01-06	4391.318
2022-01-05	4224.424
2022-01-04	3986.783
2022-01-03	3604.964
2022-01-02	3316.856
2022-01-01	2968.69
2021-12-31	2810.763
2021-12-30	2810.763
2021-12-29	2889.32
2021-12-28	2910.886
2021-12-27	3107.685
2021-12-26	3484.783
2021-12-25	3601.063
2021-12-24	3601.063
2021-12-23	3608.866
2021-12-22	3354.746
2021-12-21	2839.235
2021-12-20	2497.986
2021-12-19	2410.237
2021-12-18	2370.137
2021-12-17	2330.292
2021-12-16	2317.066
2021-12-15	2284.128
2021-12-14	2225.287
2021-12-13	2199.322
2021-12-12	2154.16
2021-12-11	2154.16
2021-12-10	2106.166
2021-12-09	1772.815
2021-12-08	1722.333
2021-12-07	1704.647
2021-12-06	1698.767
2021-12-05	1692.895
2021-12-04	1692.895
2021-12-03	1698.767
2021-12-02	1704.647
2021-12-01	1823.845
2021-11-30	1884.577
2021-11-29	1983.298
2021-11-28	2077.565
2021-11-27	2173.472
2021-11-26	2383.475
2021-11-25	2189.615
2021-11-24	1869.324
2021-11-23	1751.962
2021-11-22	1722.333
2021-11-21	1698.767
2021-11-20	1681.173
2021-11-19	1669.482
2021-11-18	1740.087
2021-11-17	1854.117
2021-11-16	1863.235
2021-11-15	1531.608
2021-11-14	1436.681
2021-11-13	1387.358
2021-11-12	1290.673
2021-11-11	1227.689
2021-11-10	1243.324
2021-11-09	1238.104
2021-11-08	1196.645
2021-11-07	1176.115
2021-11-06	1145.573
2021-11-05	952.184
2021-11-04	781.34
2021-11-03	781.34
2021-11-02	781.34
2021-11-01	834.622
2021-10-31	1055.777
2021-10-30	1055.777
2021-10-29	1036.199
2021-10-28	1007.093
2021-10-27	995.057
2021-10-26	983.077
2021-10-25	983.077
2021-10-24	942.753
2021-10-23	884.618
2021-10-22	857.211
2021-10-21	848.148
2021-10-20	868.591
2021-10-19	875.446
2021-10-18	839.121
2021-10-17	825.649
2021-10-16	781.34
2021-10-15	716.619
2021-10-14	682.97
2021-10-13	682.97
2021-10-12	712.379
2021-10-11	776.96
2021-10-10	812.26
