ano	mes	dia	vazao
2022	12	31	40.47
2022	12	30	44.334
2022	12	29	52.627
2022	12	28	62.358
2022	12	27	78.249
2022	12	26	89.517
2022	12	25	63.868
2022	12	24	80.358
2022	12	23	106.336
2022	12	22	64.63
2022	12	21	44.334
2022	12	20	39.4
2022	12	19	35.774
2022	12	18	36.281
2022	12	17	42.655
2022	12	16	56.494
2022	12	15	57.212
2022	12	14	47.568
2022	12	13	46.912
2022	12	12	44.972
2022	12	11	48.893
2022	12	10	61.983
2022	12	9	57.212
2022	12	8	39.933
2022	12	7	39.933
2022	12	6	43.771
2022	12	5	52.973
2022	12	4	62.358
2022	12	3	42.655
2022	12	2	50.235
2022	12	1	46.261
2022	11	30	35.774
2022	11	29	38.87
2022	11	28	45.614
2022	11	27	51.595
2022	11	26	46.586
2022	11	25	33.298
2022	11	24	26.918
2022	11	23	29.377
2022	11	22	27.73
2022	11	21	29.377
2022	11	20	36.791
2022	11	19	51.595
2022	11	18	80.784
2022	11	17	88.624
2022	11	16	41.555
2022	11	15	28.549
2022	11	14	27.323
2022	11	13	22.221
2022	11	12	22.983
2022	11	11	17.135
2022	11	10	14.433
2022	11	9	14.433
2022	11	8	15.765
2022	11	7	18.543
2022	11	6	19.261
2022	11	5	19.261
2022	11	4	22.983
2022	11	3	21.468
2022	11	2	19.261
2022	11	1	14.433
2022	10	31	15.765
2022	10	30	16.445
2022	10	29	17.135
2022	10	28	16.789
2022	10	27	18.901
2022	10	26	19.805
2022	10	25	15.094
2022	10	24	14.433
2022	10	23	15.094
2022	10	22	14.433
2022	10	21	14.433
2022	10	20	14.433
2022	10	19	15.094
2022	10	18	15.094
2022	10	17	15.094
2022	10	16	15.094
2022	10	15	15.765
2022	10	14	17.835
2022	10	13	18.188
2022	10	12	21.468
2022	10	11	22.221
2022	10	10	28.139
2022	10	9	4.321
2022	10	8	4.973
2022	10	7	7.47
2022	10	6	6.484
2022	10	5	4.153
2022	10	4	4.488
2022	10	3	4.893
2022	10	2	5.131
2022	10	1	5.442
2022	9	30	18.901
2022	9	29	14.433
2022	9	28	14.433
2022	9	27	14.433
2022	9	26	15.094
2022	9	25	15.094
2022	9	24	15.765
2022	9	23	15.765
2022	9	22	15.765
2022	9	21	16.445
2022	9	20	17.835
2022	9	19	17.135
2022	9	18	14.433
2022	9	17	14.433
2022	9	16	14.433
2022	9	15	14.433
2022	9	14	14.433
2022	9	13	14.433
2022	9	11	14.433
2022	9	10	14.433
2022	9	9	14.433
2022	9	8	14.433
