ano	mes	dia	chuva
2022	6	30	0.0
2022	6	29	0.0
2022	6	28	0.0
2022	6	27	0.0
2022	6	26	0.0
2022	6	25	0.0
2022	6	24	0.0
2022	6	23	0.0
2022	6	22	0.0
2022	6	21	0.0
2022	6	20	0.0
2022	6	19	0.0
2022	6	18	0.0
2022	6	17	0.0
2022	6	16	0.0
2022	6	15	0.0
2022	6	14	0.0
2022	6	13	0.0
2022	6	12	0.0
2022	6	11	1.5
2022	6	10	0.0
2022	6	9	0.0
2022	6	8	0.0
2022	6	7	0.0
2022	6	6	0.0
2022	6	5	0.0
2022	6	4	0.0
2022	6	3	0.0
2022	6	2	0.0
2022	6	1	0.0
2022	5	31	0.0
2022	5	30	0.0
2022	5	29	0.0
2022	5	28	0.0
2022	5	27	0.0
2022	5	26	0.0
2022	5	25	0.0
2022	5	24	0.0
2022	5	23	0.0
2022	5	22	0.0
2022	5	21	0.0
2022	5	20	0.0
2022	5	19	0.0
2022	5	18	0.0
2022	5	17	8.0
2022	5	16	5.3
2022	5	15	0.0
2022	5	14	0.0
2022	5	13	0.0
2022	5	12	0.0
2022	5	11	0.0
2022	5	10	0.0
2022	5	9	0.0
2022	5	8	0.0
2022	5	7	0.0
2022	5	6	0.0
2022	5	5	0.0
2022	5	4	0.0
2022	5	3	0.0
2022	5	2	0.0
2022	5	1	0.0
2022	4	30	0.0
2022	4	29	0.0
2022	4	28	0.0
2022	4	27	0.0
2022	4	26	0.0
2022	4	25	0.0
2022	4	24	0.0
2022	4	23	0.0
2022	4	22	0.0
2022	4	21	0.0
2022	4	20	0.0
2022	4	19	0.0
2022	4	18	0.0
2022	4	17	0.0
2022	4	16	0.0
2022	4	15	0.0
2022	4	14	0.0
2022	4	13	0.0
2022	4	12	0.0
2022	4	11	0.0
2022	4	10	12.3
2022	4	9	0.4
2022	4	8	0.0
2022	4	7	0.0
2022	4	6	0.0
2022	4	5	0.0
2022	4	4	0.0
2022	4	3	1.1
2022	4	2	0.0
2022	4	1	14.3
2022	3	31	0.0
2022	3	30	0.0
2022	3	29	15.8
2022	3	28	0.0
2022	3	27	0.0
2022	3	26	0.0
2022	3	25	0.0
2022	3	24	0.0
2022	3	23	0.0
2022	3	22	0.0
2022	3	21	2.9
2022	3	20	0.0
2022	3	19	0.0
2022	3	18	0.0
2022	3	17	0.0
2022	3	16	1.5
2022	3	15	0.0
2022	3	14	23.1
2022	3	13	0.0
2022	3	12	0.0
2022	3	11	0.0
2022	3	10	0.0
2022	3	9	0.0
2022	3	8	0.0
2022	3	7	0.0
2022	3	6	0.0
2022	3	5	0.0
2022	3	4	0.0
2022	3	3	0.0
2022	3	2	0.0
2022	3	1	4.6
2022	2	28	0.0
2022	2	27	0.0
2022	2	26	1.5
2022	2	25	0.0
2022	2	24	2.1
2022	2	23	0.0
2022	2	22	1.5
2022	2	21	34.1
2022	2	20	0.0
2022	2	19	0.0
2022	2	18	0.0
2022	2	17	6.7
2022	2	16	22.3
2022	2	15	0.0
2022	2	14	0.0
2022	2	13	0.6
2022	2	12	0.0
2022	2	11	18.8
2022	2	10	2.8
2022	2	9	58.7
2022	2	8	17.3
2022	2	7	54.9
2022	2	6	25.9
2022	2	5	28.0
2022	2	4	14.3
2022	2	3	0.0
2022	2	2	3.6
2022	2	1	11.9
2022	1	31	32.4
2022	1	30	23.2
2022	1	29	2.8
2022	1	28	0.0
2022	1	27	0.0
2022	1	26	1.5
2022	1	25	0.0
2022	1	24	0.0
2022	1	23	0.0
2022	1	22	0.0
2022	1	21	0.0
2022	1	20	11.8
2022	1	19	0.0
2022	1	18	0.0
2022	1	17	0.3
2022	1	16	3.2
2022	1	15	3.3
2022	1	14	0.8
2022	1	13	1.9
2022	1	12	0.6
2022	1	11	77.4
2022	1	10	15.2
2022	1	9	1.3
2022	1	8	42.1
2022	1	7	17.1
2022	1	6	16.2
2022	1	5	7.5
2022	1	4	2.4
2022	1	3	24.9
2022	1	2	17.6
2022	1	1	51.4
2021	12	31	21.2
2021	12	30	30.2
2021	12	29	6.4
2021	12	28	1.1
2021	12	27	2.6
2021	12	26	0.0
2021	12	25	0.0
2021	12	24	0.0
2021	12	23	0.0
2021	12	22	0.0
2021	12	21	0.0
2021	12	20	0.0
2021	12	19	3.4
2021	12	18	45.7
2021	12	17	46.2
2021	12	16	0.0
2021	12	15	0.0
2021	12	14	0.0
2021	12	13	11.7
2021	12	12	0.0
2021	12	11	0.0
2021	12	10	0.0
2021	12	9	3.3
2021	12	8	4.9
2021	12	7	13.4
2021	12	6	18.0
2021	12	5	0.0
2021	12	4	0.0
2021	12	3	7.6
2021	12	2	0.0
2021	12	1	27.8
2021	11	30	1.0
2021	11	29	0.0
2021	11	28	0.0
2021	11	27	11.4
2021	11	26	0.0
2021	11	25	0.0
2021	11	24	0.0
2021	11	23	0.0
2021	11	22	0.0
2021	11	21	0.0
2021	11	20	11.9
2021	11	19	18.1
2021	11	18	0.0
2021	11	17	0.0
2021	11	16	0.0
2021	11	15	0.0
2021	11	14	0.0
2021	11	13	0.0
2021	11	12	9.7
2021	11	11	1.3
2021	11	10	0.0
2021	11	9	11.9
2021	11	8	0.0
2021	11	7	0.0
2021	11	6	0.0
2021	11	5	0.0
2021	11	4	0.0
2021	11	3	0.0
2021	11	2	30.9
2021	11	1	51.1
2021	10	31	0.0
2021	10	30	0.0
2021	10	29	0.0
2021	10	28	2.3
2021	10	27	0.0
2021	10	26	2.1
2021	10	25	10.2
2021	10	24	0.0
2021	10	23	0.0
2021	10	22	0.0
2021	10	21	0.4
2021	10	20	12.9
2021	10	19	7.0
2021	10	18	13.0
2021	10	17	0.0
2021	10	16	13.4
2021	10	15	1.7
2021	10	14	0.0
2021	10	13	0.0
2021	10	12	13.5
2021	10	11	37.8
2021	10	10	28.7
2021	10	9	0.0
2021	10	8	0.0
2021	10	7	24.4
2021	10	6	0.0
2021	10	5	2.1
2021	10	4	1.5
2021	10	3	0.0
2021	10	2	6.6
2021	10	1	0.0
2021	9	30	0.0
2021	9	29	0.0
2021	9	28	0.0
2021	9	27	9.4
2021	9	26	4.3
2021	9	25	0.0
2021	9	24	0.0
2021	9	23	0.0
2021	9	22	0.0
2021	9	21	0.0
2021	9	20	0.0
2021	9	19	0.0
2021	9	18	0.0
2021	9	17	0.0
2021	9	16	0.0
2021	9	15	0.0
2021	9	14	0.0
2021	9	13	0.0
2021	9	12	22.4
2021	9	11	0.0
2021	9	10	0.0
2021	9	9	0.0
2021	9	8	0.0
2021	9	7	0.0
2021	9	6	0.0
